Touptek;Altair;OmegonPro;Rising;OMGA
141d MTR3CMOS09000KPA(USB2.0);;;141d MTR3CMOS09000KPA(USB2.0);
141e MTR3CMOS09000KMA;;;141e MTR3CMOS09000KMA;
141f MTR3CMOS09000KMA(USB2.0);;;141f MTR3CMOS09000KMA(USB2.0);
1420 MTR3CMOS20000KPA;;;1420 MTR3CMOS20000KPA;
1421 MTR3CMOS20000KPA(USB2.0);;;1421 MTR3CMOS20000KPA(USB2.0);
1422 MTR3CMOS20000KMA;;;1422 MTR3CMOS20000KMA;
1423 MTR3CMOS20000KMA(USB2.0);;;1423 MTR3CMOS20000KMA(USB2.0);
1424 ATR3CMOS09000KMA;;;1424 ATR3CMOS09000KMA;
1425 ATR3CMOS09000KMA(USB2.0);;;1425 ATR3CMOS09000KMA(USB2.0);
1426 ATR3CMOS09000KPA;;;1426 ATR3CMOS09000KPA;
1427 ATR3CMOS09000KPA(USB2.0);;;1427 ATR3CMOS09000KPA(USB2.0);
1428 ATR3CMOS26000KMA;;;1428 ATR3CMOS26000KMA;
1429 ATR3CMOS26000KMA(USB2.0);;;1429 ATR3CMOS26000KMA(USB2.0);
1430 UCMOS03100KPB;;;1430 UCMOS03100KPB;
1431 IUA8300KPB;;;1431 IUA8300KPB;
1432 IUA8300KPB(USB2.0);;;1432 IUA8300KPB(USB2.0);
1433 ATR3CMOS10300KPA;;;1433 ATR3CMOS10300KPA;
1434 ATR3CMOS10300KPA(USB2.0);;;1434 ATR3CMOS10300KPA(USB2.0);
1435 ATR3CMOS08300KPA;;;1435 ATR3CMOS08300KPA;
1436 ATR3CMOS08300KPA(USB2.0);;;1436 ATR3CMOS08300KPA(USB2.0);
1437 ITR3CMOS10300KMA;;;1437 ITR3CMOS10300KMA;
1438 ITR3CMOS10300KMA(USB2.0);;;1438 ITR3CMOS10300KMA(USB2.0);
1439 MTR3CMOS10300KMA;;;1439 MTR3CMOS10300KMA;
143a MTR3CMOS10300KMA(USB2.0);;;143a MTR3CMOS10300KMA(USB2.0);
143b MTR3CMOS10300KPA;;;143b MTR3CMOS10300KPA;
143c MTR3CMOS10300KPA(USB2.0);;;143c MTR3CMOS10300KPA(USB2.0);
143d MTR3CMOS45000KMA;;;143d MTR3CMOS45000KMA;
143e MTR3CMOS45000KMA(USB2.0);;;143e MTR3CMOS45000KMA(USB2.0);
143f ATR3CMOS10300KMA;;;143f ATR3CMOS10300KMA;
1440 ATR3CMOS10300KMA(USB2.0);;;1440 ATR3CMOS10300KMA(USB2.0);
1441 ATR3CMOS07100KPA;;;1441 ATR3CMOS07100KPA;
1442 ATR3CMOS07100KPA(USB2.0);;;1442 ATR3CMOS07100KPA(USB2.0);
1443 ATR3CMOS20000KPA;;;1443 ATR3CMOS20000KPA;
1444 ATR3CMOS20000KPA(USB2.0);;;1444 ATR3CMOS20000KPA(USB2.0);
1445 ATR3CMOS20000KMA;;;1445 ATR3CMOS20000KMA;
1446 ATR3CMOS20000KMA(USB2.0);;;1446 ATR3CMOS20000KMA(USB2.0);
1447 ITR3CMOS08300KPA;;;1447 ITR3CMOS08300KPA;
1448 ITR3CMOS08300KPA(USB2.0);;;1448 ITR3CMOS08300KPA(USB2.0);
1449 MTR3CMOS08300KPA;;;1449 MTR3CMOS08300KPA;
144a MTR3CMOS08300KPA(USB2.0);;;144a MTR3CMOS08300KPA(USB2.0);
1455 I3ISPM05000KPB;;;1455 I3ISPM05000KPB;
1456 I3ISPM05000KPB(USB2.0);;;1456 I3ISPM05000KPB(USB2.0);
2106 U3CCD06000KPA;;;1465 ATR3CMOS01700KPA;
2107 U3CCD06000KPA(USB2.0);;;1466 ATR3CMOS01700KPA(USB2.0);
3010 U3CMOS10000KPA;;;1467 IUA500KMA;
3014 U3CMOS14000KPA;;;1468 IUA500KMA(USB2.0);
3016 U3CMOS16000KPA;;;2106 U3CCD06000KPA;
3018 U3CMOS18000KPA;;;2107 U3CCD06000KPA(USB2.0);
3310 U3CMOS03100KPA;;;3010 U3CMOS10000KPA;
3312 U3CMOS03100KPB;;;3014 U3CMOS14000KPA;
3314 U3CMOS03100KPC;;;3016 U3CMOS16000KPA;
3510 U3CMOS05100KPA;;;3018 U3CMOS18000KPA;
3511 U3CMOS05100KPA;;;3310 U3CMOS03100KPA;
3723 E3CMOS02300KPA;;;3312 U3CMOS03100KPB;
3731 E3CMOS03100KPA;;;3314 U3CMOS03100KPC;
3850 U3CMOS08500KPA;;;3510 U3CMOS05100KPA;
3b14 U3CMOS14000KPA;;;3511 U3CMOS05100KPA;
3bb4 U3CMOS14000KPB;;;3723 E3CMOS02300KPA;
4000 E3CMOS06300KPA;;;3731 E3CMOS03100KPA;
4001 E3CMOS06300KPA(USB2.0);;;3850 U3CMOS08500KPA;
4002 E3CMOS12000KPA;;;3b14 U3CMOS14000KPA;
4003 E3CMOS12000KPA(USB2.0);;;3bb4 U3CMOS14000KPB;
4004 U3CCD02800KPA;;;4000 E3CMOS06300KPA;
4005 U3CCD02800KPA(USB2.0);;;4001 E3CMOS06300KPA(USB2.0);
4006 E3CMOS02300KPB;;;4002 E3CMOS12000KPA;
4007 E3CMOS02300KPB(USB2.0);;;4003 E3CMOS12000KPA(USB2.0);
4008 E3CMOS03100KPB;;;4004 U3CCD02800KPA;
4009 E3CMOS03100KPB(USB2.0);;;4005 U3CCD02800KPA(USB2.0);
400a MTR3CCD06000KPA;;;4006 E3CMOS02300KPB;
400b MTR3CCD06000KPA(USB2.0);;;4007 E3CMOS02300KPB(USB2.0);
400c EP3CMOS02300KPA;;;4008 E3CMOS03100KPB;
400d EP3CMOS02300KPA(USB2.0);;;4009 E3CMOS03100KPB(USB2.0);
4010 U3CMOS10000KPA(USB2.0);;;400a MTR3CCD06000KPA;
4014 U3CMOS14000KPA(USB2.0);;;400b MTR3CCD06000KPA(USB2.0);
4016 U3CMOS16000KPA(USB2.0);;;400c EP3CMOS02300KPA;
4018 U3CMOS18000KPA(USB2.0);;;400d EP3CMOS02300KPA(USB2.0);
4020 MTR3CCD01400KPA;;;4010 U3CMOS10000KPA(USB2.0);
4021 MTR3CCD01400KPA(USB2.0);;;4014 U3CMOS14000KPA(USB2.0);
4310 U3CMOS03100KPA(USB2.0);;;4016 U3CMOS16000KPA(USB2.0);
4312 U3CMOS03100KPB(USB2.0);;;4018 U3CMOS18000KPA(USB2.0);
4314 U3CMOS03100KPC(USB2.0);;;4020 MTR3CCD01400KPA;
4510 U3CMOS05100KPA(USB2.0);;;4021 MTR3CCD01400KPA(USB2.0);
4511 U3CMOS05100KPA(USB2.0);;;4310 U3CMOS03100KPA(USB2.0);
4723 E3CMOS02300KPA(USB2.0);;;4312 U3CMOS03100KPB(USB2.0);
4731 E3CMOS03100KPA(USB2.0);;;4314 U3CMOS03100KPC(USB2.0);
4850 U3CMOS08500KPA(USB2.0);;;4510 U3CMOS05100KPA(USB2.0);
4b14 U3CMOS14000KPA(USB2.0);;;4511 U3CMOS05100KPA(USB2.0);
4bb4 U3CMOS14000KPB(USB2.0);;;4723 E3CMOS02300KPA(USB2.0);
5002 UCMOS02000KPC;;;4731 E3CMOS03100KPA(USB2.0);
5003 UCMOS03100KPB;;;4850 U3CMOS08500KPA(USB2.0);
6010 UCMOS10000KPA;;;4b14 U3CMOS14000KPA(USB2.0);
6014 UCMOS14000KPA;;;4bb4 U3CMOS14000KPB(USB2.0);
6035 UCMOS00350KPA;;;5002 UCMOS02000KPC;
6121 UCMOS01200KMA;;;5003 UCMOS03100KPB;
6122 UCMOS01200KPB;;;6010 UCMOS10000KPA;
6130 UCMOS01300KPA;;;6014 UCMOS14000KPA;
6131 UCMOS01300KMA;;;6035 UCMOS00350KPA;
6200 UCMOS02000KPA;;;6121 UCMOS01200KMA;
6201 UCMOS02000KPB;;;6122 UCMOS01200KPB;
6310 UCMOS03100KPA;;;6130 UCMOS01300KPA;
6510 UCMOS05100KPA;;;6131 UCMOS01300KMA;
6511 UCMOS05100KMA;;;6200 UCMOS02000KPA;
6512 UCMOS05100KPA;;;6201 UCMOS02000KPB;
6518 UCMOS05100KPC;;;6310 UCMOS03100KPA;
6800 UCMOS08000KPA;;;6510 UCMOS05100KPA;
6801 UCMOS08000KPB;;;6511 UCMOS05100KMA;
6900 UCMOS09000KPA;;;6512 UCMOS05100KPA;
6901 UCMOS09000KPB;;;6518 UCMOS05100KPC;
6b10 WCMOS10000KPA;;;6800 UCMOS08000KPA;
7140 UHCCD01400KMA;;;6801 UCMOS08000KPB;
7141 UHCCD01400KMB;;;6900 UCMOS09000KPA;
7808 UCMOS08000KPB;;;6901 UCMOS09000KPB;
8031 EXCCD00300KMA;;;6b10 WCMOS10000KPA;
8044 EXCCD00440KPA;;;7140 UHCCD01400KMA;
8045 EXCCD00440KMA;;;7141 UHCCD01400KMB;
8046 EXCCD00440KPB;;;7808 UCMOS08000KPB;
8047 EXCCD00440KMB;;;8031 EXCCD00300KMA;
804a EXCCD00440KPB;;;8044 EXCCD00440KPA;
804b EXCCD00440KPA;;;8045 EXCCD00440KMA;
804c EXCCD00440KMB;;;8046 EXCCD00440KPB;
804d EXCCD00440KMA;;;8047 EXCCD00440KMB;
805a EXCCD00440KPB;;;804a EXCCD00440KPB;
8080 UHCCD00800KPA;;;804b EXCCD00440KPA;
8140 UHCCD01400KPA;;;804c EXCCD00440KMB;
8141 EXCCD01400KPA;;;804d EXCCD00440KMA;
8142 EXCCD01400KMA;;;805a EXCCD00440KPB;
8146 UHCCD01400KPB;;;8080 UHCCD00800KPA;
8148 UHCCD01400KPB;;;8140 UHCCD01400KPA;
8149 UHCCD01400KMB;;;8141 EXCCD01400KPA;
814d EXCCD01400KPA;;;8142 EXCCD01400KMA;
814e EXCCD01400KPA;;;8146 UHCCD01400KPB;
814f EXCCD01400KMA;;;8148 UHCCD01400KPB;
8200 UHCCD02000KPA;;;8149 UHCCD01400KMB;
8206 UHCCD02000KPA;;;814d EXCCD01400KPA;
8306 EXCCD00300KMA;;;814e EXCCD01400KPA;
8307 EXCCD00300KMA;;;814f EXCCD01400KMA;
8309 EXCCD00300KMA;;;8200 UHCCD02000KPA;
830a EXCCD00300KPA;;;8206 UHCCD02000KPA;
8311 UHCCD03100KPB;;;8306 EXCCD00300KMA;
8316 UHCCD03100KPB;;;8307 EXCCD00300KMA;
8500 UHCCD05000KPA;;;8309 EXCCD00300KMA;
8506 UHCCD05000KPA;;;830a EXCCD00300KPA;
8510 UHCCD05100KPA;;;8311 UHCCD03100KPB;
8516 UHCCD05100KPA;;;8316 UHCCD03100KPB;
8520 UHCCD05200KPA;;;8500 UHCCD05000KPA;
8526 UHCCD05200KPA;;;8506 UHCCD05000KPA;
8527 UHCCD05200KMA;;;8510 UHCCD05100KPA;
9141 SCCCD01400KPA;;;8516 UHCCD05100KPA;
9142 SCCCD01400KMA;;;8520 UHCCD05200KPA;
9143 SCCCD01400KMB;;;8526 UHCCD05200KPA;
9146 SCCCD01400KPB;;;8527 UHCCD05200KMA;
9520 SCCCD05200KPA;;;9141 SCCCD01400KPA;
a010 ICMOS10000KPA;;;9142 SCCCD01400KMA;
a014 ICMOS14000KPA;;;9143 SCCCD01400KMB;
a131 ICMOS01300KMA;;;9146 SCCCD01400KPB;
a310 ICMOS03100KPA;;;9520 SCCCD05200KPA;
a312 ICMOS03100KPA;;;a010 ICMOS10000KPA;
b121 GCMOS01200KMA;;;a014 ICMOS14000KPA;
b122 GCMOS01200KPB;;;a131 ICMOS01300KMA;
b123 GCMOS01200KPB;;;a310 ICMOS03100KPA;
b124 GCMOS01200KMB;;;a312 ICMOS03100KPA;
b133 GCMOS01200KPB;;;b121 GCMOS01200KMA;
b134 GCMOS01200KMB;;;b122 GCMOS01200KPB;
b135 GCMOS01200KMA;;;b123 GCMOS01200KPB;
b136 GCMOS01200KMB;;;b124 GCMOS01200KMB;
b310 GCMOS03100KPA;;;b133 GCMOS01200KPB;
bf10 FILTERWHEEL;;;b134 GCMOS01200KMB;
c010 L3CMOS10000KPA;;;b135 GCMOS01200KMA;
c014 L3CMOS14000KPA;;;b136 GCMOS01200KMB;
c310 L3CMOS03100KPA;;;b310 GCMOS03100KPA;
c312 L3CMOS03100KPB;;;bf10 FILTERWHEEL;
c510 L3CMOS05100KPA;;;c010 L3CMOS10000KPA;
c850 L3CMOS08500KPA;;;c014 L3CMOS14000KPA;
cb14 L3CMOS14000KPA;;;c310 L3CMOS03100KPA;
d010 L3CMOS10000KPA(USB2.0);;;c312 L3CMOS03100KPB;
d014 L3CMOS14000KPA(USB2.0);;;c510 L3CMOS05100KPA;
d310 L3CMOS03100KPA(USB2.0);;;c850 L3CMOS08500KPA;
d312 L3CMOS03100KPB(USB2.0);;;cb14 L3CMOS14000KPA;
d510 L3CMOS05100KPA(USB2.0);;;d010 L3CMOS10000KPA(USB2.0);
d850 L3CMOS08500KPA(USB2.0);;;d014 L3CMOS14000KPA(USB2.0);
db14 L3CMOS14000KPA(USB2.0);;;d310 L3CMOS03100KPA(USB2.0);
e217 G3CMOS02300KPA(USB2.0);;;d312 L3CMOS03100KPB(USB2.0);
e317 G3CMOS02300KPA;;;d510 L3CMOS05100KPA(USB2.0);
f010 LCMOS10000KPA;;;d850 L3CMOS08500KPA(USB2.0);
f014 LCMOS14000KPA;;;db14 L3CMOS14000KPA(USB2.0);
f130 LCMOS01300KPA;;;e217 G3CMOS02300KPA(USB2.0);
f132 LCMOS01200KPB;;;e317 G3CMOS02300KPA;
f200 LCMOS02000KPA;;;f010 LCMOS10000KPA;
f310 LCMOS03100KPA;;;f014 LCMOS14000KPA;
f312 LCMOS03100KPB;;;f130 LCMOS01300KPA;
f510 LCMOS05100KPA;;;f132 LCMOS01200KPB;
f800 LCMOS08000KPA;;;f200 LCMOS02000KPA;
f900 LCMOS09000KPA;;;f310 LCMOS03100KPA;
fc15 ICMOS14000KPC;;;f312 LCMOS03100KPB;
;;;f510 LCMOS05100KPA;
;;;f800 LCMOS08000KPA;
;;;f900 LCMOS09000KPA;
;;;fc15 ICMOS14000KPC;
