Touptek;Altair;OmegonPro;Rising;OMGA
113f U3ISPM16000KPB(USB2.0);101e AA26MTEC(USB2.0);;113f U3ISPM16000KPB(USB2.0);
1142 U3ISPM18000KPA;101f AA533MTEC;;1142 U3ISPM18000KPA;
1143 U3ISPM18000KPA(USB2.0);1020 AA533MTEC(USB2.0);;1143 U3ISPM18000KPA(USB2.0);
1144 E3CMOS02300KMC;1021 AA533CPROTEC;;1144 E3CMOS02300KMC;
1145 E3CMOS02300KMC(USB2.0);1022 AA533CPROTEC(USB2.0);;1145 E3CMOS02300KMC(USB2.0);
1146 AF3CMOS06300KPA;1023 AA294CPROTEC;;1146 AF3CMOS06300KPA;
1147 AF3CMOS06300KPA(USB2.0);11c4 AA294MPROTEC;;1147 AF3CMOS06300KPA(USB2.0);
1148 U3CMOS10000KMA;11c5 AA294MPROTEC(USB2.0);;1148 U3CMOS10000KMA;
1149 U3CMOS10000KMA(USB2.0);11ca AA183CPROTEC;;1149 U3CMOS10000KMA(USB2.0);
114c E3ISPM05000KPA;11cb AA183CPROTEC(USB2.0);;114c E3ISPM05000KPA;
114d E3ISPM05000KPA(USB2.0);11d6 AA183MPROTEC;;114d E3ISPM05000KPA(USB2.0);
114e EP3CMOS20000KPA;11d7 AA183MPROTEC(USB2.0);;114e EP3CMOS20000KPA;
114f EP3CMOS20000KPA(USB2.0);16d0 AA294CPROTEC(USB2.0);;114f EP3CMOS20000KPA(USB2.0);
1150 EP3CMOS06300KMA;b121 GPCAMMT9M034M;;1150 EP3CMOS06300KMA;
1151 EP3CMOS06300KMA(USB2.0);b122 GPCAMAR0130C;;1151 EP3CMOS06300KMA(USB2.0);
1152 EP3CMOS02300KMC;b123 GPCAMAR0130C;;1152 EP3CMOS02300KMC;
1153 EP3CMOS02300KMC(USB2.0);b124 GPCAMAR0130M;;1153 EP3CMOS02300KMC(USB2.0);
1154 EP3CMOS02300KPC;b134 GPCAMAR0130M;;1154 EP3CMOS02300KPC;
1155 EP3CMOS02300KPC(USB2.0);b135 GPCAMMT9M034M;;1155 EP3CMOS02300KPC(USB2.0);
1156 MG3CMOS02300KPA;;;1156 MG3CMOS02300KPA;
1157 MG3CMOS02300KPA(USB2.0);;;1157 MG3CMOS02300KPA(USB2.0);
1158 MG3CMOS16000KPA;;;1158 MG3CMOS16000KPA;
1159 MG3CMOS16000KPA(USB2.0);;;1159 MG3CMOS16000KPA(USB2.0);
115a G3M178C;;;115a G3M178C;
115b G3M178C(USB2.0);;;115b G3M178C(USB2.0);
115c G3M178M;;;115c G3M178M;
115d G3M178M(USB2.0);;;115d G3M178M(USB2.0);
115e G3M290C;;;115e G3M290C;
115f G3M290C(USB2.0);;;115f G3M290C(USB2.0);
1160 G3M290M;;;1160 G3M290M;
1161 G3M290M(USB2.0);;;1161 G3M290M(USB2.0);
1162 G3M224C;;;1162 G3M224C;
1163 G3M224C(USB2.0);;;1163 G3M224C(USB2.0);
1168 U3CMOS16000KMB;;;1168 U3CMOS16000KMB;
1169 U3CMOS16000KMB(USB2.0);;;1169 U3CMOS16000KMB(USB2.0);
116a E3ISPM09000KPA;;;116a E3ISPM09000KPA;
116b E3ISPM09000KPA(USB2.0);;;116b E3ISPM09000KPA(USB2.0);
116c E3ISPM08300KPA;;;116c E3ISPM08300KPA;
116d E3ISPM08300KPA(USB2.0);;;116d E3ISPM08300KPA(USB2.0);
116e E3CMOS00400KMA;;;116e E3CMOS00400KMA;
116f E3CMOS00400KMA(USB2.0);;;116f E3CMOS00400KMA(USB2.0);
1170 E3CMOS00400KPA;;;1170 E3CMOS00400KPA;
1171 E3CMOS00400KPA(USB2.0);;;1171 E3CMOS00400KPA(USB2.0);
1172 E3CMOS05000KMA;;;1172 E3CMOS05000KMA;
1173 E3CMOS05000KMA(USB2.0);;;1173 E3CMOS05000KMA(USB2.0);
1174 E3CMOS03100KMC;;;1174 E3CMOS03100KMC;
1175 E3CMOS03100KMC(USB2.0);;;1175 E3CMOS03100KMC(USB2.0);
1176 G3M287C;;;1176 G3M287C;
1177 G3M287C(USB2.0);;;1177 G3M287C(USB2.0);
1178 G3M287M;;;1178 G3M287M;
1179 G3M287M(USB2.0);;;1179 G3M287M(USB2.0);
117a G3M385C;;;117a G3M385C;
117b G3M385C(USB2.0);;;117b G3M385C(USB2.0);
117c ECMOS08300KPA;;;117c ECMOS08300KPA;
117d ECMOS06600KPA;;;117d ECMOS06600KPA;
117e EP3CMOS00400KMA;;;117e EP3CMOS00400KMA;
117f EP3CMOS00400KMA(USB2.0);;;117f EP3CMOS00400KMA(USB2.0);
1180 EP3CMOS00400KPA;;;1180 EP3CMOS00400KPA;
1181 EP3CMOS00400KPA(USB2.0);;;1181 EP3CMOS00400KPA(USB2.0);
1182 G3CMOS16000KPA;;;1182 G3CMOS16000KPA;
1183 G3CMOS16000KPA(USB2.0);;;1183 G3CMOS16000KPA(USB2.0);
1184 G3CMOS16000KMA;;;1184 G3CMOS16000KMA;
1185 G3CMOS16000KMA(USB2.0);;;1185 G3CMOS16000KMA(USB2.0);
1186 UA310CA;;;1186 UA310CA;
1187 UA510CA;;;1187 UA510CA;
1188 UA1000CA;;;1188 UA1000CA;
1189 UA1600CA;;;1189 UA1600CA;
118a E3ISPM12300KPA;;;118a E3ISPM12300KPA;
118b E3ISPM12300KPA(USB2.0);;;118b E3ISPM12300KPA(USB2.0);
119c G3CMOS02300KMC;;;119c G3CMOS02300KMC;
119d G3CMOS02300KMC(USB2.0);;;119d G3CMOS02300KMC(USB2.0);
11a0 G3CMOS20000KMA;;;11a0 G3CMOS20000KMA;
11a1 G3CMOS20000KMA(USB2.0);;;11a1 G3CMOS20000KMA(USB2.0);
11a2 G3CMOS20000KPA;;;11a2 G3CMOS20000KPA;
11a3 G3CMOS20000KPA(USB2.0);;;11a3 G3CMOS20000KPA(USB2.0);
11c0 E3ISPM02000KPA;;;11c0 E3ISPM02000KPA;
11c1 E3ISPM02000KPA(USB2.0);;;11c1 E3ISPM02000KPA(USB2.0);
11c2 G3CMOS02300KPA;;;11c2 G3CMOS02300KPA;
11c3 G3CMOS02300KPA(USB2.0);;;11c3 G3CMOS02300KPA(USB2.0);
11c4 I3ISPM12000KPA;;;11c4 I3ISPM12000KPA;
11c5 I3ISPM12000KPA(USB2.0);;;11c5 I3ISPM12000KPA(USB2.0);
11c6 G3CMOS10300KPA;;;11c6 G3CMOS10300KPA;
11c7 G3CMOS10300KPA(USB2.0);;;11c7 G3CMOS10300KPA(USB2.0);
11c8 U3CMOS16000KPB;;;11c8 U3CMOS16000KPB;
11c9 U3CMOS16000KPB(USB2.0);;;11c9 U3CMOS16000KPB(USB2.0);
11ca G3M178C;;;11ca G3M178C;
11cb G3M178C(USB2.0);;;11cb G3M178C(USB2.0);
11cc G3M178M;;;11cc G3M178M;
11cd G3M178M(USB2.0);;;11cd G3M178M(USB2.0);
11ce E3CMOS01500KMA;;;11ce E3CMOS01500KMA;
11cf E3CMOS01500KMA(USB2.0);;;11cf E3CMOS01500KMA(USB2.0);
11d0 E3ISPM01500KPA;;;11d0 E3ISPM01500KPA;
11d1 E3ISPM01500KPA(USB2.0);;;11d1 E3ISPM01500KPA(USB2.0);
11d2 ATR3CMOS20000KMA;;;11d2 ATR3CMOS20000KMA;
11d3 ATR3CMOS20000KMA(USB2.0);;;11d3 ATR3CMOS20000KMA(USB2.0);
11d4 MTR3CCD01400KPB;;;11d4 MTR3CCD01400KPB;
11d5 MTR3CCD01400KPB(USB2.0);;;11d5 MTR3CCD01400KPB(USB2.0);
11de E3CMOS20000KMA;;;11de E3CMOS20000KMA;
11df E3CMOS20000KMA(USB2.0);;;11df E3CMOS20000KMA(USB2.0);
11e0 ATR3CMOS16000KPB;;;11e0 ATR3CMOS16000KPB;
11e1 ATR3CMOS16000KPB(USB2.0);;;11e1 ATR3CMOS16000KPB(USB2.0);
11e4 BigEye10000KPA;;;11e4 BigEye10000KPA;
11e5 BigEye10000KPA(USB2.0);;;11e5 BigEye10000KPA(USB2.0);
11e6 G3CMOS20000KPA;;;11e6 G3CMOS20000KPA;
11e7 G3CMOS20000KPA(USB2.0);;;11e7 G3CMOS20000KPA(USB2.0);
11ea ATR3CMOS16000KPA;;;11ea ATR3CMOS16000KPA;
11eb ATR3CMOS16000KPA(USB2.0);;;11eb ATR3CMOS16000KPA(USB2.0);
11ec G3CMOS20000KMA;;;11ec G3CMOS20000KMA;
11ed G3CMOS20000KMA(USB2.0);;;11ed G3CMOS20000KMA(USB2.0);
11ee MTR3CMOS20000KMA;;;11ee MTR3CMOS20000KMA;
11ef MTR3CMOS20000KMA(USB2.0);;;11ef MTR3CMOS20000KMA(USB2.0);
11f0 MTR3CMOS16000KPA;;;11f0 MTR3CMOS16000KPA;
11f1 MTR3CMOS16000KPA(USB2.0);;;11f1 MTR3CMOS16000KPA(USB2.0);
11f2 MTR3CMOS16000KPA;;;11f2 MTR3CMOS16000KPA;
11f3 MTR3CMOS16000KPA(USB2.0);;;11f3 MTR3CMOS16000KPA(USB2.0);
11f4 MTR3CMOS16000KMA;;;11f4 MTR3CMOS16000KMA;
11f5 MTR3CMOS16000KMA(USB2.0);;;11f5 MTR3CMOS16000KMA(USB2.0);
11f6 ATR3CMOS16000KMA;;;11f6 ATR3CMOS16000KMA;
11f7 ATR3CMOS16000KMA(USB2.0);;;11f7 ATR3CMOS16000KMA(USB2.0);
11f8 E3CMOS01200KPA;;;11f8 E3CMOS01200KPA;
11f9 E3CMOS01200KPA(USB2.0);;;11f9 E3CMOS01200KPA(USB2.0);
11fa E3ISPM08300KPB;;;11fa E3ISPM08300KPB;
11fb E3ISPM08300KPB(USB2.0);;;11fb E3ISPM08300KPB(USB2.0);
11fc UCMOS01300KPA;;;11fc UCMOS01300KPA;
11fd ATR3CMOS10300KPA;;;11fd ATR3CMOS10300KPA;
11fe ATR3CMOS10300KPA(USB2.0);;;11fe ATR3CMOS10300KPA(USB2.0);
11ff MTR3CMOS10300KPA;;;11ff MTR3CMOS10300KPA;
1200 MTR3CMOS10300KPA(USB2.0);;;1200 MTR3CMOS10300KPA(USB2.0);
1201 E3CMOS12300KMA;;;1201 E3CMOS12300KMA;
1202 E3CMOS12300KMA(USB2.0);;;1202 E3CMOS12300KMA(USB2.0);
1203 BigEye4200KMB;;;1203 BigEye4200KMB;
1204 BigEye4200KMB(USB2.0);;;1204 BigEye4200KMB(USB2.0);
1205 BigEye4200KMA;;;1205 BigEye4200KMA;
1206 BigEye4200KMA(USB2.0);;;1206 BigEye4200KMA(USB2.0);
1207 LCMOS01300KPA;;;1207 LCMOS01300KPA;
1208 ECMOS05000KPA;;;1208 ECMOS05000KPA;
1209 I3ISPM01500KPA;;;1209 I3ISPM01500KPA;
120a I3ISPM01500KPA(USB2.0);;;120a I3ISPM01500KPA(USB2.0);
120b I3CMOS01500KMA;;;120b I3CMOS01500KMA;
120c I3CMOS01500KMA(USB2.0);;;120c I3CMOS01500KMA(USB2.0);
120d I3ISPM02000KPA;;;120d I3ISPM02000KPA;
120e I3ISPM02000KPA(USB2.0);;;120e I3ISPM02000KPA(USB2.0);
120f C3CMOS05100KPA;;;120f C3CMOS05100KPA;
1210 C3CMOS05100KPA(USB2.0);;;1210 C3CMOS05100KPA(USB2.0);
1213 G3CMOS16000KPA;;;1213 G3CMOS16000KPA;
1214 G3CMOS16000KPA(USB2.0);;;1214 G3CMOS16000KPA(USB2.0);
1215 G3CMOS16000KMA;;;1215 G3CMOS16000KMA;
